Ref,Val,Package,PosX,PosY,Rot,Side
"C1","47uF 10V","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-55.683200,15.189200,0.000000,bottom
"C2","4.7nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-52.781200,24.587200,90.000000,bottom
"C3","100p","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-47.555200,12.903200,90.000000,bottom
"C4","47uF 10V","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-40.951200,13.135700,-90.000000,bottom
"C5","22uF 16V","C_1206_3216Metric",-63.881000,18.567400,0.000000,bottom
"C6","22uF 16V","C_1206_3216Metric",-63.957200,21.043900,0.000000,bottom
"C7","22uF 16V","C_1206_3216Metric",-56.438800,25.908000,-90.000000,bottom
"C8","22uF 16V","C_1206_3216Metric",-57.150000,8.115300,-90.000000,bottom
"C9","10uF 16V","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-6.172200,17.767300,180.000000,bottom
"C10","100nf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-13.589000,18.034000,0.000000,bottom
"C11","10pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-10.366500,18.796000,90.000000,bottom
"C12","10pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-8.636000,18.796000,90.000000,bottom
"C13","10pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-17.018000,32.004000,-90.000000,bottom
"C14","10pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-17.018000,28.448000,90.000000,bottom
"C15","100nf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-19.685000,26.987500,0.000000,bottom
"C16","10uF 16V","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-13.589000,19.558000,0.000000,bottom
"C17","100nf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-8.966200,37.985700,180.000000,bottom
"C18","100nf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-18.821400,21.221700,180.000000,bottom
"C19","100nf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-15.570200,22.288500,-90.000000,bottom
"C20","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-68.097400,44.958000,180.000000,bottom
"C21","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-68.097400,46.736000,180.000000,bottom
"C22","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-13.048500,75.277428,-90.000000,bottom
"C23","47uF 10V","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-55.661700,22.047200,0.000000,bottom
"C24","10uF 16V","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-68.351400,48.514000,180.000000,bottom
"C25","10uF 16V","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-11.270500,75.277428,-90.000000,bottom
"C26","47uF 10V","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-55.736248,17.415200,0.000000,bottom
"C29","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-85.344000,12.954000,90.000000,bottom
"C30","10uF 16V","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-87.122000,12.954000,90.000000,bottom
"C31","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-42.453166,49.784000,180.000000,bottom
"C32","10uF 16V","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-42.453166,48.260000,180.000000,bottom
"C33","47uF 10V","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-55.736248,19.815200,0.000000,bottom
"C34","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-49.225200,24.587200,-90.000000,bottom
"C35","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-51.003200,24.587200,90.000000,bottom
"C36","47uF 10V","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-45.523200,13.135700,-90.000000,bottom
"C37","47uF 10V","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-43.237200,13.135700,-90.000000,bottom
"C38","2.2n","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-52.889200,12.903200,-90.000000,bottom
"C39","100p","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-49.333200,12.903200,-90.000000,bottom
"C40","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-19.881400,38.651900,0.000000,bottom
"C41","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-23.281400,38.651900,180.000000,bottom
"C42","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-42.011600,39.890700,0.000000,bottom
"C43","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-34.188400,54.610000,90.000000,bottom
"C44","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-10.981400,42.037000,0.000000,bottom
"C45","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-10.981400,45.776900,0.000000,bottom
"C46","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-10.981400,49.576900,0.000000,bottom
"C47","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-10.981400,53.476900,0.000000,bottom
"C48","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-10.981400,57.276900,0.000000,bottom
"C49","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-57.048400,33.489900,90.000000,bottom
"C50","1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-4.724400,57.492900,0.000000,bottom
"C51","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-41.554400,45.681900,90.000000,bottom
"C52","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-37.261800,54.610000,-90.000000,bottom
"C53","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-52.730400,37.807900,90.000000,bottom
"C54","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-81.981400,8.576900,0.000000,bottom
"C55","1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-68.081400,43.376900,180.000000,bottom
"C56","1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",-87.756400,38.226900,180.000000,bottom
"D6","FSV330AF","DO-214AD (SMAF)",-42.887900,23.507700,0.000000,bottom
"FB1","MMZ1608A222BTA00","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",-68.351400,50.292000,180.000000,bottom
"FB2","74279220321","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-55.683200,12.903200,180.000000,bottom
"FB3","74279220321","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-19.177000,22.948900,180.000000,bottom
"FB4","MMZ1608A222BTA00","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",-5.613400,38.252400,0.000000,bottom
"FB5","MMZ1608A222BTA00","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",-26.695400,50.761900,180.000000,bottom
"FB6","MMZ1608A222BTA00","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",-32.181400,68.176900,180.000000,bottom
"FB7","MMZ1608A222BTA00","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",-28.600400,36.156900,180.000000,bottom
"FB8","MMZ1608A222BTA00","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",-86.381400,58.276900,180.000000,bottom
"FB9","74279220321","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-68.906400,52.051900,180.000000,bottom
"FB10","MMZ1608A222BTA00","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",-43.231400,45.676900,-90.000000,bottom
"FB11","MMZ1608A222BTA00","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",-76.381400,75.676900,-90.000000,bottom
"FB12","MMZ1608A222BTA00","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",-29.881400,30.226900,0.000000,bottom
"J1","Serial Connector","Molex_Pico-Lock_504050-0691_1x06-1MP_P1.50mm_Horizontal",-27.000000,6.692900,180.000000,bottom
"J2","i2c connector","Molex_Pico-Lock_504050-0691_1x06-1MP_P1.50mm_Horizontal",-66.000000,6.692900,180.000000,bottom
"L2","10uH","L_Coilcraft_LPS5030",-43.491200,18.803700,90.000000,bottom
"Q1","FDS8876","SOIC-8_3.9x4.9mm_P1.27mm",-28.803600,19.075400,0.000000,bottom
"R1","33K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",-51.111200,12.903200,-90.000000,bottom
"R2","470R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",-23.281400,20.574000,0.000000,bottom
"R3","47K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",-23.876000,23.114000,-90.000000,bottom
"R4","DNP","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",-6.273800,16.243300,180.000000,bottom
"R5","DNP","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",-2.693500,18.173700,0.000000,bottom
"R6","0R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",-2.690500,19.697700,180.000000,bottom
