UTC,board,TH1,TH2,TH3,U4,U5,U6,U7,TH4,TH5,TH6,J7,J8,J12,J13,J14,J15,J16,heater_v_high,heater_v_low,heater_curr,heater_mode,target_temp,target_sensor,heater_duty
2023-08-16 00:01:59.675737,1,1953,1991,1949,5853,5823,5894,5856,1952,1979,1963,,,,,,,,3086,3082,8,0,1044,0,255
2023-08-16 00:01:59.675737,2,1940,1988,1946,5846,5785,5878,5837,1941,1983,1958,1951,,,,,,,3115,3113,9,0,1044,0,255
2023-08-16 00:02:04.716448,1,1956,1996,1950,5853,5828,5898,5860,1951,1979,1962,,,,,,,,3079,3084,9,0,1044,0,255
2023-08-16 00:02:04.716448,2,1939,1987,1947,5853,5786,5883,5840,1942,1981,1961,1950,,,,,,,3098,3111,9,0,1044,0,255
2023-08-16 00:02:09.757815,1,1956,1992,1949,5858,5830,5903,5856,1950,1981,1967,,,,,,,,3089,3081,7,0,1044,0,255
2023-08-16 00:02:09.757815,2,1940,1988,1946,5855,5791,5884,5840,1946,1982,1959,1953,,,,,,,3113,3111,9,0,1044,0,255
2023-08-16 00:02:14.867250,1,1958,1993,1950,5866,5828,5905,5860,1953,1981,1964,,,,,,,,3077,3083,9,0,1044,0,255
2023-08-16 00:02:14.867250,2,1940,1989,1947,5856,5792,5892,5839,1944,1982,1963,1952,,,,,,,3101,3107,9,0,1044,0,255
2023-08-16 00:02:19.909188,1,1955,1995,1951,5866,5833,5910,5866,1954,1979,1968,,,,,,,,3089,3080,9,0,1044,0,255
2023-08-16 00:02:19.909188,2,1941,1988,1947,5860,5794,5889,5842,1945,1981,1957,1955,,,,,,,3101,3111,9,0,1044,0,255
2023-08-16 00:02:24.949866,1,1957,1994,1952,5868,5834,5913,5869,1954,1979,1967,,,,,,,,3093,3080,10,0,1044,0,255
2023-08-16 00:02:24.949866,2,1940,1988,1948,5862,5790,5893,5846,1945,1979,1959,1951,,,,,,,3087,3107,9,0,1044,0,255
2023-08-16 00:02:29.990243,1,1958,1993,1951,5868,5838,5915,5866,1951,1981,1968,,,,,,,,3083,3082,9,0,1044,0,255
2023-08-16 00:02:29.990243,2,1940,1990,1948,5870,5793,5897,5846,1941,1982,1962,1952,,,,,,,3110,3107,9,0,1044,0,255
2023-08-16 00:02:35.033402,1,1956,1994,1951,5873,5836,5919,5866,1951,1980,1969,,,,,,,,3083,3084,9,0,1044,0,255
2023-08-16 00:02:35.033402,2,1940,1990,1948,5869,5792,5903,5850,1949,1982,1959,1953,,,,,,,3118,3109,10,0,1044,0,255
2023-08-16 00:02:40.078599,1,1955,1995,1951,5876,5840,5917,5870,1952,1979,1969,,,,,,,,3088,3085,9,0,1044,0,255
2023-08-16 00:02:40.078599,2,1941,1989,1948,5874,5796,5902,5849,1942,1983,1962,1952,,,,,,,3117,3115,9,0,1044,0,255
2023-08-16 00:02:45.122791,1,1956,1994,1951,5880,5840,5917,5867,1952,1980,1970,,,,,,,,3080,3082,9,0,1044,0,255
2023-08-16 00:02:45.122791,2,1941,1990,1949,5875,5794,5905,5849,1944,1983,1960,1953,,,,,,,3107,3110,9,0,1044,0,255
2023-08-16 00:02:50.167256,1,1959,1995,1953,5884,5837,5922,5873,1954,1981,1971,,,,,,,,3084,3079,8,0,1044,0,255
2023-08-16 00:02:50.167256,2,1939,1990,1951,5876,5798,5909,5851,1950,1983,1963,1951,,,,,,,3104,3108,10,0,1044,0,255
2023-08-16 00:02:55.233513,1,1958,1995,1952,5883,5839,5928,5868,1953,1980,1969,,,,,,,,3094,3081,9,0,1044,0,255
2023-08-16 00:02:55.233513,2,1942,1987,1949,5881,5800,5909,5845,1945,1984,1963,1952,,,,,,,3110,3105,9,0,1044,0,255
2023-08-16 00:03:00.279209,1,1959,1998,1952,5886,5843,5928,5869,1952,1981,1969,,,,,,,,3074,3084,9,0,1044,0,255
2023-08-16 00:03:00.279209,2,1940,1992,1948,5884,5801,5913,5851,1944,1982,1965,1953,,,,,,,3111,3115,9,0,1044,0,255
2023-08-16 00:03:05.325033,1,1958,1996,1954,5895,5843,5930,5875,1953,1983,1971,,,,,,,,3074,3083,9,0,1044,0,255
2023-08-16 00:03:05.325033,2,1942,1991,1949,5882,5799,5912,5851,1946,1984,1962,1954,,,,,,,3105,3111,9,0,1044,0,255
2023-08-16 00:03:10.373933,1,1960,1995,1953,5889,5848,5937,5874,1953,1981,1970,,,,,,,,3091,3081,9,0,1044,0,255
2023-08-16 00:03:10.373933,2,1943,1990,1948,5888,5799,5919,5849,1944,1983,1967,1953,,,,,,,3121,3111,8,0,1044,0,255
2023-08-16 00:03:15.419075,1,1961,1996,1953,5897,5848,5933,5875,1952,1982,1970,,,,,,,,3069,3081,8,0,1044,0,255
2023-08-16 00:03:15.419075,2,1942,1991,1949,5893,5802,5916,5858,1948,1983,1964,1954,,,,,,,3103,3110,9,0,1044,0,255
2023-08-16 00:03:20.464428,1,1959,1998,1955,5895,5847,5939,5880,1954,1984,1972,,,,,,,,3092,3086,2,0,1044,0,255
2023-08-16 00:03:20.464428,2,1942,1992,1951,5894,5803,5922,5856,1946,1985,1964,1953,,,,,,,3106,3109,8,0,1044,0,255
2023-08-16 00:03:25.510122,1,1960,1996,1951,5902,5852,5937,5882,1955,1983,1974,,,,,,,,3087,3087,8,0,1044,0,255
2023-08-16 00:03:25.510122,2,1950,1991,1948,5894,5805,5923,5856,1948,1985,1964,1954,,,,,,,3113,3109,9,0,1044,0,255
2023-08-16 00:03:30.555858,1,1959,1997,1952,5903,5851,5937,5878,1954,1983,1974,,,,,,,,3084,3088,9,0,1044,0,255
2023-08-16 00:03:30.555858,2,1943,1990,1951,5898,5807,5925,5857,1946,1984,1967,1953,,,,,,,3107,3110,9,0,1044,0,255
2023-08-16 00:03:35.600859,1,1961,1998,1954,5905,5851,5943,5883,1956,1983,1974,,,,,,,,3095,3080,8,0,1044,0,255
2023-08-16 00:03:35.600859,2,1943,1990,1951,5897,5809,5928,5858,1948,1984,1967,1954,,,,,,,3116,3107,9,0,1044,0,255
2023-08-16 00:03:40.645744,1,1960,1999,1954,5907,5857,5940,5877,1958,1983,1972,,,,,,,,3087,3084,9,0,1044,0,255
2023-08-16 00:03:40.645744,2,1944,1993,1951,5901,5809,5930,5859,1943,1983,1961,1956,,,,,,,3095,3108,9,0,1044,0,255
2023-08-16 00:03:45.691527,1,1960,1999,1955,5905,5854,5948,5884,1956,1985,1976,,,,,,,,3082,3081,9,0,1044,0,255
2023-08-16 00:03:45.691527,2,1943,1991,1952,5899,5805,5926,5859,1949,1985,1964,1954,,,,,,,3116,3107,9,0,1044,0,255
2023-08-16 00:03:50.737564,1,1961,1999,1955,5912,5858,5942,5884,1957,1984,1975,,,,,,,,3083,3085,9,0,1044,0,255
2023-08-16 00:03:50.737564,2,1943,1994,1951,5904,5811,5931,5862,1949,1984,1967,1953,,,,,,,3115,3110,10,0,1044,0,255
2023-08-16 00:03:55.782908,1,1960,1999,1954,5908,5857,5948,5886,1955,1984,1974,,,,,,,,3087,3085,8,0,1044,0,255
2023-08-16 00:03:55.782908,2,1943,1993,1951,5903,5814,5928,5861,1948,1985,1966,1954,,,,,,,3121,3111,9,0,1044,0,255
2023-08-16 00:04:00.828438,1,1963,1998,1955,5907,5859,5941,5884,1955,1983,1972,,,,,,,,3074,3087,9,0,1044,0,255
2023-08-16 00:04:00.828438,2,1944,1993,1950,5901,5810,5929,5860,1943,1986,1968,1954,,,,,,,3130,3113,8,0,1044,0,255
